nav #                 start point           target point          bigstride steps       stride size           path length           
59                    (10, 27)              (21, 33)              2                     1                     12                    
59                    (10, 27)              (21, 33)              2                     2                     10                    
60                    (10, 27)              (21, 34)              1                     1                     12                    
60                    (10, 27)              (21, 34)              1                     2                     11                    
60                    (10, 27)              (21, 34)              2                     1                     12                    
60                    (10, 27)              (21, 34)              2                     2                     10                    
61                    (10, 27)              (22, 30)              1                     1                     13                    
61                    (10, 27)              (22, 30)              1                     2                     12                    
61                    (10, 27)              (22, 30)              2                     1                     13                    
61                    (10, 27)              (22, 30)              2                     2                     11                    
62                    (10, 27)              (22, 31)              1                     1                     13                    
62                    (10, 27)              (22, 31)              1                     2                     12                    
62                    (10, 27)              (22, 31)              2                     1                     13                    
62                    (10, 27)              (22, 31)              2                     2                     11                    
63                    (10, 27)              (22, 32)              1                     1                     13                    
63                    (10, 27)              (22, 32)              1                     2                     12                    
63                    (10, 27)              (22, 32)              2                     1                     13                    
63                    (10, 27)              (22, 32)              2                     2                     11                    
64                    (10, 27)              (22, 33)              1                     1                     13                    
64                    (10, 27)              (22, 33)              1                     2                     12                    
64                    (10, 27)              (22, 33)              2                     1                     13                    
64                    (10, 27)              (22, 33)              2                     2                     11                    
65                    (10, 27)              (22, 34)              1                     1                     13                    
65                    (10, 27)              (22, 34)              1                     2                     12                    
65                    (10, 27)              (22, 34)              2                     1                     13                    
65                    (10, 27)              (22, 34)              2                     2                     11                    
66                    (10, 27)              (23, 30)              1                     1                     14                    
66                    (10, 27)              (23, 30)              1                     2                     13                    
66                    (10, 27)              (23, 30)              2                     1                     14                    
66                    (10, 27)              (23, 30)              2                     2                     12                    
67                    (10, 27)              (23, 31)              1                     1                     14                    
67                    (10, 27)              (23, 31)              1                     2                     13                    
67                    (10, 27)              (23, 31)              2                     1                     14                    
67                    (10, 27)              (23, 31)              2                     2                     12                    
68                    (10, 27)              (23, 32)              1                     1                     14                    
68                    (10, 27)              (23, 32)              1                     2                     13                    
68                    (10, 27)              (23, 32)              2                     1                     14                    
68                    (10, 27)              (23, 32)              2                     2                     12                    
69                    (10, 27)              (23, 33)              1                     1                     14                    
69                    (10, 27)              (23, 33)              1                     2                     13                    
69                    (10, 27)              (23, 33)              2                     1                     14                    
69                    (10, 27)              (23, 33)              2                     2                     12                    
70                    (10, 27)              (23, 34)              1                     1                     14                    
70                    (10, 27)              (23, 34)              1                     2                     13                    
70                    (10, 27)              (23, 34)              2                     1                     14                    
70                    (10, 27)              (23, 34)              2                     2                     12                    
71                    (10, 27)              (24, 30)              1                     1                     15                    
71                    (10, 27)              (24, 30)              1                     2                     14                    
71                    (10, 27)              (24, 30)              2                     1                     15                    
71                    (10, 27)              (24, 30)              2                     2                     13                    
72                    (10, 27)              (24, 31)              1                     1                     15                    
72                    (10, 27)              (24, 31)              1                     2                     14                    
72                    (10, 27)              (24, 31)              2                     1                     15                    
72                    (10, 27)              (24, 31)              2                     2                     13                    
